Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,4.0,-4.0,23.262,0.654,12.09571831898968,11.16628168101032,2.232720761761309
2,4.0,-3.799,23.279,0.654,25.211458319571552,1.932458319571552,4.022402888821556
3,4.0,-3.316,23.32,0.653,37.87520475636941,14.555204756369413,1.4843180252223578
4,3.961,-4.0,23.323,0.653,19.08306047757453,4.23993952242547,0.34584534115699755
5,4.0,-3.267,23.324,0.653,37.33000000000001,14.00600000000001,4.162931659299729
6,4.0,-3.205,23.33,0.653,34.299660112501044,10.969660112501046,4.525483399593905
7,4.0,-3.103,23.338,0.653,40.361716956894256,17.023716956894255,1.533101431738944
8,4.0,-2.972,23.35,0.652,23.13920466520979,0.2107953347902125,4.01100049862874
9,4.0,-2.869,23.358,0.652,36.93412045216233,13.576120452162332,2.691554383622965
10,4.0,-2.533,23.387,0.652,32.64441691039328,9.257416910393282,4.1962364089741175
11,4.0,-2.356,23.402,0.651,19.96471372578589,3.4372862742141095,4.153841595439094
12,3.903,-4.0,23.412,0.651,6.541218652925179,16.87078134707482,1.9993679001124331
13,4.0,-2.192,23.416,0.651,22.698055638473498,0.7179443615265022,1.4490472732109192
14,4.0,-1.973,23.435,0.651,26.59745939634271,3.1624593963427117,4.07339232090404
15,4.0,-1.894,23.442,0.651,21.289009235804958,2.1529907641950423,0.5102489588426418
RESUMEN,,,,,6.541218652925179,8.218603745964737,0.34584534115699755
